TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
00BX,14961,30255X10,20NOV2014,19JUL2015,1
00BX,14961,30555Q10,20AUG2015,31MAY2018,1
00BY,15003,24983L10,20NOV2014,31DEC2018,1
00C5,14915,83190B10,20NOV2014,31DEC2018,1
00C6,14939,49338L10,20NOV2014,31DEC2018,1
00C9,15014,23833710,20NOV2014,31DEC2018,1
00CB,14956,25745410,20NOV2014,31DEC2018,1
00CC,14942,49428J10,20NOV2014,31DEC2018,1
00CL,15059,19249H10,20NOV2014,31DEC2018,1
00CN,,,20NOV2014,,6
00D3,14960,29357K10,20NOV2014,31DEC2018,1
00D4,14974,64869110,20NOV2014,31DEC2018,1
00DA,15008,31679P10,18DEC2014,03NOV2017,1
00DB,14953,09940610,18DEC2014,31DEC2018,1
00DD,15083,85711T30,18DEC2014,17NOV2017,1
00DJ,15029,13057Q10,18DEC2014,31MAY2016,1
00DJ,15029,13057Q20,16JUN2016,31DEC2018,1
00DL,15031,03673L10,18DEC2014,31DEC2018,1
00DV,15140,51508J10,18DEC2014,31DEC2018,1
00DX,14990,03283P10,18DEC2014,29APR2016,1
00DZ,13746,72202D10,18DEC2014,16JUL2015,1
00E0,15055,Y6213410,18DEC2014,13DEC2018,1
00EB,15052,86212110,18DEC2014,31DEC2018,1
00EC,,,18DEC2014,14SEP2016,6
00EC,16629,12718M30,10MAR2017,09APR2017,1
00EC,16629,25381F10,20APR2017,16AUG2017,1
00ED,,,18DEC2014,,6
00EF,,,18DEC2014,31DEC2018,6
00EG,15092,52603A10,18DEC2014,31DEC2018,1
00EG,,,18JUL2019,,6
00EH,,,18DEC2014,,6
00EI,15060,N2094710,18DEC2014,02MAR2017,1
00EJ,,,18DEC2014,31DEC2018,6
00EX,15028,04410410,15JAN2015,31DEC2018,1
00EY,15134,48205A10,15JAN2015,05MAR2018,1
00FF,15133,G5005R10,15JAN2015,31DEC2018,1
00FR,15116,76281910,15JAN2015,20JUL2018,1
00GC,15105,59116R10,19FEB2015,05APR2017,1
00GG,14173,47117210,19FEB2015,31DEC2018,1
00HK,15180,22190710,19FEB2015,31DEC2018,1
